區域,屋齡,建坪,間數,車位,總價(萬),亂數排列
沙鹿區,0,85.71,5,無,470,0.385047138
大雅區,0,27.08,4,無,270,0.691141839
東區,27,38.23,3,無,205,0.528925605
南區,26,154.15,7,有,688,0.716269522
太平區,3,156.27,7,有,868,0.697055084
太平區,0,172.68,12,無,1698,0.365533873
后里區,37,101.02,8,無,120,0.058418635
南屯區,1,214.55,9,無,2150,0.873177585
東區,26,160.97,7,無,220,0.043550146
南區,0,161,7,有,998,0.324077447
南屯區,0,136.26,6,有,770,0.390392468
沙鹿區,0,153.02,7,有,750,0.093580581
潭子區,23,129.44,6,有,650,0.224635099
南屯區,0,188.92,7,有,989,0.18021471
西區,39,59.83,4,無,150,0.819557865
大里區,3,201.1,7,有,1300,0.287621559
太平區,41,62.66,5,無,680,0.690770035
潭子區,0,215.25,10,無,1750,0.288735237
大里區,3,174.89,7,有,1125,0.639942965
西屯區,25,105.19,7,無,540,0.563492627
北屯區,3,181.22,7,無,900,0.052663515
北屯區,5,199.72,7,有,1200,0.895729498
北屯區,26,111.6,7,無,660,0.91441033
西區,32,139.36,11,無,1400,0.780026531
北屯區,0,155.8,7,有,826,0.235120218
烏日區,3,224.71,8,有,1500,0.166289374
西屯區,10,324.31,10,有,3170,0.678658983
北屯區,0,151.46,7,有,1039,0.440527747
西屯區,6,138.45,6,有,910,0.288226665
太平區,0,241.37,8,有,1468,0.800223231
大里區,30,130.94,11,無,367,0.950525114
南區,0,162.61,7,有,1026,0.925994763
沙鹿區,0,70.95,5,無,315,0.682605381
西屯區,8,458.63,9,有,5000,0.27588659
豐原區,0,160.33,7,有,968,0.5272274
烏日區,0,120,5,有,519,0.142979618
北屯區,6,187.26,7,有,1080,0.559383061
南屯區,0,354.98,10,有,3600,0.238083405
大里區,1,234.64,13,無,2350,0.988531286
太平區,9,170.49,10,無,1568,0.637987367
西屯區,0,58.09,4,無,510,0.1450624
南屯區,26,222.05,8,有,2200,0.26305265
東勢區,24,214.04,8,有,600,0.192171385
北區,1,365.5,13,無,3720,0.260054237
龍井區,1,214.06,10,無,1288,0.605927106
南屯區,0,116.3,5,有,649,0.190742023
南區,9,107.57,4,有,783,0.514660966
西區,2,276.94,13,無,3488,0.846907262
西區,44,252.68,17,無,1580,0.877028806
潭子區,39,134.02,10,無,1200,0.504032303
西區,21,178.32,7,有,1588,0.611980753
豐原區,3,65.97,6,無,510,0.571253273
南區,53,118.76,8,無,445,0.168495108
大里區,42,89.34,8,無,300,0.339396246
太平區,3,209.34,10,無,2083,0.067181503
龍井區,1,156.7,7,有,755,0.216552818
沙鹿區,0,115.57,4,有,488,0.654288687
北區,36,81.26,6,無,390,0.49689042
沙鹿區,0,126.93,5,有,600,0.933850603
烏日區,0,124.79,6,有,618,0.435234756
北區,36,91.24,7,無,406,0.231324041
北屯區,20,147.37,7,有,840,0.697480705
西屯區,26,27.77,3,無,152,0.212492581
西屯區,5,263.93,8,有,3330,0.703289279
東區,0,205.35,7,有,1360,0.416312948
烏日區,1,272.03,14,無,3088,0.624966158
